Reference	Family	Scientific name	Vernacular name	Native/Exotic	Habit	Flowering (month)	Syndrome	Other usages	photo (book)	photo (internet)	Pollinator quoted	Pollinator species quoted	References about pollinator 
P. B. Cavalcante	Arecaceae	Acrocomia sclerocarpa Mart.	Mucajá	Exotic	Tree	8 to 9	Undefined		no	no	beetle	no species quoted	LORENZI, G. M. A. C.; NEGRELLE, R. R. B. 2006. Acrocomia aculeata (Jacq.) Lodd. ex Mart.: aspectos ecológicos. Visão Acadêmica  7. 10.5380/acd.v7i1.9021.
S. Silva	Opilinaceae	Agonandra brasiliensis Miers ex Benth & Hook. F.	Agonandra 	Native	Tree	8 to 10	Undefined		no	no			
S. Silva	Arecaceae	Aiphanes aculeata Willd.	Cariota-de-espinho	Native	Tree		Cantarophily		no	no			
P. B. Cavalcante	Rubiaceae	Alibertia edulis (Rich.) Rich.  Ex DC. 	Puruí	Native	Bush	7	Phalenophily 		no	yes			
P. B. Cavalcante	Lecitidaceae	Allantoma lineata (Mart. & Berg) Miers	Ceru 	Native	Tree	11 to 1	Mellitophily		no	yes	bee	no species quoted	MORI, S. A. 1987. Biologia da polinização em Lecythidaceae. Acta Bot. Bras. 1:121-124.
P. B. Cavalcante	Apocynaceae	Ambelania acida Aubl.	Papino-do-Mato	Native	Bush		Phalenophily 	Medicinal	no	yes			
P. B. Cavalcante	Anacardiaceae	Anacardium giganteum Hanc. Ex Engl.	Cajuí	Native	Tree		Mellitophily		yes	no	bee	Apis mellifera	TAKEHANA, C.L.I. et al. 2013. Biologia floral e visitantes florais de Anacardium giganteum W. Hancock ex Engl. (Anacardiaceae) no município de Bragança, Pará. Revista de Ciências Agrárias 56:202-211. 
S. Silva	Anacardiaceae	Anacardium humile A. St.-Hil	Cajuzinho-do-campo	Native	Tree		Mellitophily		no	no			
P. B. Cavalcante	Anacardiaceae	Anacardium microcarpum Ducke	Caju-do-Campo	Native	Tree	to 10	Mellitophily		no	no			
P. B. Cavalcante	Anacardiaceae	Anacardium negrense Pires & Froés ex Black & Pires	Cajutim	Native	Tree	12 to 2	Mellitophily		no	no			
P. B. Cavalcante	Anacardiaceae	Anacardium occidentale L.	Caju	Exotic	Bush	9 to 11	Mellitophily	Numbing	no	yes	bee	Centris, Megachile	FREITAS, B.M.; CRUZ, D.O. 2010. As abelhas na polinização de culturas agricolas. In. Embrapa. II Semana dos Polinizadores: Palestras e Resumos. Embrapa, Petrolina, p. 140-156.
P. B. Cavalcante	Bromeliaceae	Ananas comosus (L.) Merril 	Abacaxi	Native	Bush	8 to 10	Ornithophily		no	no			
S. Silva	Annonaceae	Annona crassiflora Mart.	Araticum-do-cerrado	Native	Tree		Cantarophily		no	yes			
P. B. Cavalcante	Annonaceae	Annona densicoma Mart.	Araticum-do-Mato	Native	Bush	9 to 3	Cantarophily		yes	yes	beetle	Colopterus (Nitidulidae), Curculionidae, Chrysomelidae	GOTTSBERGER, G. 2014. Evolutionary steps in the reproductive biology of Annonaceae. Revista Brasileira de Fruticultura 36:32-43.
P. B. Cavalcante	Annonaceae	Annona montana Macf. 	Araticum	Exotic	Tree	1 to 12*	Cantarophily		yes	yes	beetle	Colopterus (Nitidulidae), Curculionidae, Chrysomelidae	GOTTSBERGER, G. 2014. Evolutionary steps in the reproductive biology of Annonaceae. Revista Brasileira de Fruticultura 36:32-43.
P. B. Cavalcante	Annonaceae	Annona muricata L.	Graviola 	Exotic	Tree	9 to 1	Cantarophily		yes	yes			
